t,torque_signal
5.040638270999999726e+00,-6.505572968098277675e-02
5.074019981000000179e+00,-2.394272742479881810e-02
5.107401691999999827e+00,-1.097202747182668969e-01
5.140783402000000279e+00,2.180611254306195901e-01
5.174165112999999927e+00,-3.017800639336212232e-01
5.207546823000000380e+00,1.585452528834523089e-02
5.240928532999999945e+00,-6.185698990671580078e-02
5.274310243999999592e+00,-2.990987892935113510e-02
5.307691954000000045e+00,-4.382448475193501114e-02
5.341073664999999693e+00,-4.134294347412580117e-02
5.374455375000000146e+00,-3.219506659393546466e-02
5.407837085999999793e+00,-6.004902424655136906e-02
5.441218796000000246e+00,1.512267204892361536e-02
5.474600505999999811e+00,-3.044924895153596767e-01
5.507982217000000347e+00,2.097005019574829099e-01
5.541363926999999912e+00,-1.051644155108390211e-01
5.574745637999999559e+00,-2.661645255471428717e-02
5.608127348000000012e+00,-6.433002754117024546e-02
5.641509057999999577e+00,-3.725354785751624348e-02
5.674890769000000112e+00,-6.531221122097398413e-02
5.708272478999999677e+00,-2.448200135138229455e-02
5.741654190000000213e+00,-1.089933044805458662e-01
5.775035899999999778e+00,2.175778163743211646e-01
5.808417610000000231e+00,-3.019287355364751457e-01
5.841799320999999878e+00,1.707487000988482106e-02
5.875181031000000331e+00,-6.474859500860116746e-02
5.908562741999999979e+00,-2.440312260427109775e-02
5.941944452000000432e+00,-5.363310127375192637e-02
5.975326161999999997e+00,-2.376323318312655031e-02
6.008707872999999644e+00,-6.618999493206129126e-02
6.042089583000000097e+00,1.984476369065582557e-02
6.075471293999999745e+00,-3.083647264696866563e-01
6.108853004000000197e+00,2.131886335404985511e-01
6.142234713999999762e+00,-1.087944359849479931e-01
6.175616425000000298e+00,-2.200064717938770426e-02
6.208998134999999863e+00,-7.175569227375132308e-02
6.242379846000000398e+00,-2.185366529354280940e-02
6.275761555999999963e+00,-1.094595738569256044e-01
6.309143266000000416e+00,2.164849974688575762e-01
6.342524977000000064e+00,-2.994340637196174493e-01
6.375906686999999629e+00,1.306093435344217804e-02
6.409288398000000164e+00,-5.882680430092558643e-02
6.442670107999999729e+00,-3.302327950824041070e-02
6.476051818000000182e+00,-4.075272263005927376e-02
6.509433528999999830e+00,-4.425843833320806942e-02
6.542815239000000282e+00,-2.955435467337366034e-02
6.576196949999999930e+00,-6.227857789898620655e-02
6.609578660000000383e+00,1.676929029181586581e-02
6.642960369999999948e+00,-3.053227182993248912e-01
6.676342080999999595e+00,2.093747577391071868e-01
6.709723791000000048e+00,-1.031541896121167812e-01
6.743105501999999696e+00,-3.119818113566504708e-02
6.776487212000000149e+00,-5.554276366026625333e-02
6.809868921999999714e+00,-5.365850782125448915e-02
6.843250633000000249e+00,-3.271672216779622500e-02
6.876632342999999814e+00,-1.026517614593666083e-01
6.910014054000000350e+00,2.122920117745088486e-01
6.943395763999999915e+00,-2.971674406922328870e-01
6.976777474999999562e+00,1.243310353657146178e-02
7.010159185000000015e+00,-5.983065299458448227e-02
7.043540894999999580e+00,-3.011290635157674520e-02
7.076922606000000116e+00,-4.625103867663675483e-02
7.110304315999999680e+00,-3.472420393994204990e-02
7.143686027000000216e+00,-4.634842123240807965e-02
7.177067736999999781e+00,-2.986314160679715002e-02
7.210449447000000234e+00,-6.039174784094220733e-02
7.243831157999999881e+00,1.378117525754305600e-02
7.277212868000000334e+00,-3.015284080890129892e-01
7.310594578999999982e+00,2.049657662883857534e-01
7.343976289000000435e+00,-9.825919499022991999e-02
7.377357999000000000e+00,-3.649070577733705412e-02
7.410739709999999647e+00,-4.991416948143982679e-02
7.444121420000000100e+00,-5.958076683710389343e-02
7.477503130999999748e+00,-2.652902621650941178e-02
7.510884841000000200e+00,-1.090878899946445824e-01
7.544266550999999765e+00,2.189691418341042084e-01
7.577648262000000301e+00,-3.040870481849018425e-01
7.611029971999999866e+00,1.960576913026477325e-02
7.644411683000000401e+00,-6.727716721068813244e-02
7.677793392999999966e+00,-2.235930934853292903e-02
7.711175103000000419e+00,-5.436123301509118710e-02
7.744556814000000067e+00,-2.618527735920187990e-02
7.777938523999999632e+00,-5.542137652971201867e-02
7.811320235000000167e+00,-2.009964343806684012e-02
7.844701944999999732e+00,-7.108593329059947896e-02
7.878083655000000185e+00,2.579181573159491231e-02
7.911465365999999833e+00,-3.155157610063813456e-01
7.944847076000000285e+00,2.221638072828281130e-01
7.978228786999999933e+00,-1.212848841022513835e-01
8.011610496999999498e+00,-9.013542824179970187e-04
8.044992206999999951e+00,-1.222155934452160003e-01
8.078373918000000486e+00,2.260642475152464526e-01
8.111755627999999163e+00,-3.075683681291356275e-01
8.145137338999999699e+00,2.050419471921245337e-02
8.178519049000000152e+00,-6.599793571295640981e-02
8.211900759000000605e+00,-2.579156494468125629e-02
8.245282469999999364e+00,-4.845950117197124485e-02
8.278664179999999817e+00,-3.532835299540955376e-02
8.312045891000000353e+00,-4.144412647315810772e-02
8.345427601000000806e+00,-4.235358710461444021e-02
8.378809311999999565e+00,-3.186261802833020157e-02
8.412191022000000018e+00,-6.004344653076182370e-02
8.445572732000000471e+00,1.498597049944039306e-02
8.478954442999999230e+00,-3.043979883132975628e-01
8.512336152999999683e+00,2.098611998205395790e-01
8.545717864000000219e+00,-1.059353339397579863e-01
8.579099574000000672e+00,-2.451294181350813922e-02
8.612481283999999349e+00,-6.949976043783150093e-02
8.645862994999999884e+00,-2.392372522311014826e-02
8.679244705000000337e+00,-1.075176723207175722e-01
8.712626416000000873e+00,2.146213509208905745e-01
8.746008125999999550e+00,-2.976028235709743952e-01
8.779389836000000003e+00,1.121712738881095947e-02
8.812771547000000538e+00,-5.692325130889064333e-02
8.846153256999999215e+00,-3.503939725665991545e-02
8.879534967999999751e+00,-3.856125595847535031e-02
8.912916678000000203e+00,-4.670400565877726173e-02
8.946298388000000656e+00,-2.675100160853675219e-02
8.979680098999999416e+00,-6.558256336895518235e-02
9.013061808999999869e+00,2.077980044188950520e-02
9.046443520000000404e+00,-3.103512180119216146e-01
9.079825230000000857e+00,2.159193139592543997e-01
9.113206939999999534e+00,-1.120672071973422834e-01
9.146588651000000070e+00,-1.832364086980705145e-02
9.179970361000000523e+00,-7.574084939099959279e-02
9.213352071999999282e+00,-1.762722436121357678e-02
9.246733781999999735e+00,-1.138830919444759754e-01
9.280115492000000188e+00,2.210818961011802308e-01
9.313497203000000724e+00,-3.042034003879745541e-01
9.346878912999999400e+00,1.803291020450774329e-02
9.380260623999999936e+00,-6.408219777799853412e-02
9.413642334000000389e+00,-2.731044671932410933e-02
9.447024044000000842e+00,-4.728799646049813843e-02
9.480405754999999601e+00,-3.609922549817909387e-02
9.513787465000000054e+00,-4.128525033029112334e-02
9.547169176000000590e+00,-4.134631299849803043e-02
9.580550885999999267e+00,-3.552102597541111767e-02
9.613932595999999720e+00,-4.907674803797218432e-02
9.647314307000000255e+00,-2.312458879933434672e-02
9.680696017000000708e+00,-7.316697294048096767e-02
9.714077727999999468e+00,3.866932719501459115e-02
9.747459437999999921e+00,-3.616343821376908352e-01
9.780841148000000373e+00,4.747367305189808540e-01
9.814222858999999133e+00,-3.538381830429110364e-01
9.847604568999999586e+00,3.551119209288392670e-02
9.880986280000000122e+00,-7.194077967377292271e-02
9.914367990000000574e+00,-2.302201749757306487e-02
9.947749700999999334e+00,-5.036640714245863015e-02
9.981131410999999787e+00,-3.297673704806991513e-02
1.001451312000000016e+01,-4.538584353215696643e-02
1.004789483000000061e+01,-3.528484074706238205e-02
1.008127653999999929e+01,-4.490620034827215445e-02
1.011465824999999974e+01,-3.407000332538003690e-02
1.014803996000000019e+01,-4.831978343882032539e-02
1.018142167000000065e+01,-2.678423968142867179e-02
1.021480337999999932e+01,-6.463439570763133968e-02
1.024818508999999978e+01,1.947630021613864365e-02
1.028156680000000023e+01,-3.092839221919114756e-01
1.031494851000000068e+01,2.159877903723634862e-01
1.034833023000000018e+01,-1.151510990716316241e-01
1.038171194000000064e+01,-6.997591859576575771e-03
1.041509364999999931e+01,-1.161583061057647470e-01
1.044847535999999977e+01,2.200520107746681830e-01
1.048185707000000022e+01,-3.016114785817649580e-01
1.051523878000000067e+01,1.461728579131108680e-02
1.054862048999999935e+01,-6.020068755500895818e-02
1.058200219999999980e+01,-3.147308905582825445e-02
1.061538391000000026e+01,-4.292830135536032654e-02
1.064876562000000071e+01,-4.066274620457897837e-02
1.068214732999999939e+01,-3.637011228396377915e-02
1.071552903999999984e+01,-4.707828192654150978e-02
1.074891075000000029e+01,-2.761513373457327031e-02
1.078229246000000074e+01,-6.362365369747904897e-02
1.081567416999999942e+01,1.760486330275658901e-02
1.084905587999999987e+01,-3.055774024892404239e-01
1.088243759000000033e+01,2.087722132390172902e-01
1.091581930000000078e+01,-1.010134140918153428e-01
1.094920100999999946e+01,-3.659422160368470955e-02
1.098258271999999991e+01,-4.179501308486505834e-02
1.101596443000000036e+01,-9.649409748646536888e-02
1.104934614000000082e+01,2.072701732940469554e-01
1.108272784999999949e+01,-2.924673490027448475e-01
1.111610955999999995e+01,7.571588719746519952e-03
1.114949127999999945e+01,-5.441927024616799446e-02
1.118287298999999990e+01,-3.649474469277754624e-02
1.121625470000000035e+01,-3.832687534153074449e-02
1.124963641000000081e+01,-4.510127264775735251e-02
1.128301811999999948e+01,-3.187051138149971097e-02
1.131639982999999994e+01,-5.186589759937362820e-02
1.134978154000000039e+01,-2.227280880180487407e-02
1.138316325000000084e+01,-6.987754088613552794e-02
1.141654495999999952e+01,2.530334761749604422e-02
1.144992666999999997e+01,-3.156007063490299247e-01
1.148330838000000043e+01,2.227362626622440556e-01
1.151669009000000088e+01,-1.222996432427814750e-01
1.155007179999999956e+01,5.408100325520505403e-04
1.158345351000000001e+01,-1.240958914136554014e-01
1.161683522000000046e+01,2.284184142683708396e-01
1.165021692999999914e+01,-3.104602029330351676e-01
1.168359863999999959e+01,2.403296024556298566e-02
1.171698035000000004e+01,-7.031209054859763330e-02
1.175036206000000050e+01,-2.046999989211301801e-02
1.178374376999999917e+01,-5.512814005289787961e-02
1.181712547999999963e+01,-2.677137185542623893e-02
1.185050719000000008e+01,-5.280499742761642079e-02
1.188388890000000053e+01,-2.650456307796703048e-02
1.191727060999999921e+01,-5.569458418025551028e-02
1.195065231999999966e+01,-1.952135645640076453e-02
1.198403403999999917e+01,-7.183220342308174744e-02
1.201741574999999962e+01,2.663915646787817088e-02
1.205079746000000007e+01,-3.164330115906575092e-01
1.208417917000000052e+01,2.231397219366096918e-01
1.211756087999999920e+01,-1.223206628916481825e-01
1.215094258999999965e+01,2.046459691285255206e-04
1.218432430000000011e+01,-1.234104589447925920e-01
1.221770601000000056e+01,2.273758086218142793e-01
1.225108771999999924e+01,-3.090363212991924513e-01
1.228446942999999969e+01,2.218516035050323298e-02
1.231785114000000014e+01,-6.797433214954232139e-02
1.235123285000000060e+01,-2.339582178177602306e-02
1.238461455999999927e+01,-5.146893276692712793e-02
1.241799626999999973e+01,-3.138379406091611201e-02
1.245137798000000018e+01,-4.689282760515741527e-02
1.248475969000000063e+01,-3.429862433134836519e-02
1.251814139999999931e+01,-4.494498192257619096e-02
1.255152310999999976e+01,-3.549937251751866807e-02
1.258490482000000021e+01,-4.468038344237523773e-02
1.261828653000000067e+01,-3.381843607039363570e-02
1.265166823999999934e+01,-5.210433286580540974e-02
1.268504994999999980e+01,-2.766174519170499710e-03
1.271843166000000025e+01,-2.672306977438989040e-01
1.275181337000000070e+01,1.214707614731993512e-01
1.278519507999999938e+01,2.377530189870079302e-01
1.281857680000000066e+01,-5.977561119409121604e-01
1.285195850999999934e+01,5.157854382480182576e-01
1.288534021999999979e+01,-3.658124484388137754e-01
1.291872193000000024e+01,3.869746338778738692e-02
1.295210364000000069e+01,-7.121658579003552203e-02
1.298548534999999937e+01,-2.613879706614922679e-02
1.301886705999999982e+01,-4.528128360928305313e-02
1.305224877000000028e+01,-4.014028678920691234e-02
1.308563048000000073e+01,-3.557584336054439578e-02
1.311901218999999941e+01,-4.899377114539187061e-02
