time (sec),theta (rad)
14.1204635,-0.000723154
14.15384521,-0.000723154
14.18722692,-0.000723154
14.22060863,-0.000723154
14.25399034,-0.000723154
14.28737205,-0.000723154
14.32075376,-0.000723154
14.35413547,-0.000723154
14.38751718,-0.000723154
14.42089889,-0.000723154
14.45428061,-0.000901821
14.48766232,-0.000901821
14.52104403,-0.000901821
14.55442574,-0.000901821
14.58780745,-0.000901821
14.62118916,-0.000723154
14.65457087,-0.000723154
14.68795258,-0.000723154
14.72133429,-0.000723154
14.754716,-0.000723154
14.78809771,-0.000723154
14.82147942,-0.000723154
14.85486113,-0.000723154
14.88824284,-0.000723154
14.92162455,-0.000723154
14.95500626,-0.000723154
14.98838797,-0.000723154
15.02176968,-0.000723154
15.05515139,-0.000901821
15.0885331,-0.000901821
15.12191481,-0.000901821
15.15529652,-0.000901821
15.18867823,-0.000901821
15.22205994,-0.000901821
15.25544165,-0.000723154
15.28882337,-0.000723154
15.32220508,-0.000723154
15.35558679,-0.000723154
15.3889685,-0.000723154
15.42235021,-0.000723154
15.45573192,-0.000723154
15.48911363,-0.000723154
15.52249534,-0.000723154
15.55587705,-0.000723154
15.58925876,-0.000723154
15.62264047,-0.000901821
15.65602218,-0.000901821
15.68940389,-0.000901821
15.7227856,-0.000901821
15.75616731,-0.000901821
15.78954902,-0.000901821
15.82293073,-0.000723154
15.85631244,-0.000723154
15.88969415,-0.000723154
15.92307586,-0.000723154
15.95645757,-0.000723154
15.98983928,-0.000723154
16.02322099,-0.000723154
16.0566027,-0.000723154
16.08998441,-0.000723154
16.12336613,-0.000723154
16.15674784,-0.000723154
16.19012955,-0.000723154
16.22351126,-0.000723154
16.25689297,-0.000723154
16.29027468,-0.000901821
16.32365639,-0.000901821
16.3570381,-0.000723154
16.39041981,-0.000723154
16.42380152,-0.000723154
16.45718323,-0.000723154
16.49056494,-0.000723154
16.52394665,-0.000723154
16.55732836,-0.000723154
16.59071007,-0.000723154
16.62409178,-0.000723154
16.65747349,-0.000723154
16.6908552,-0.000723154
16.72423691,-0.000723154
16.75761862,-0.000723154
16.79100033,-0.000901821
16.82438204,-0.000901821
16.85776375,-0.000901821
16.89114546,-0.000901821
16.92452718,-0.000901821
16.95790889,-0.000901821
16.9912906,-0.000901821
17.02467231,-0.000901821
17.05805402,-0.000723154
17.09143573,-0.000723154
17.12481744,-0.000723154
17.15819915,-0.000723154
17.19158086,-0.000723154
17.22496257,-0.000723154
17.25834428,-0.000723154
17.29172599,-0.000723154
17.3251077,-0.000723154
17.35848941,-0.000723154
17.39187112,-0.000901821
17.42525283,-0.000901821
17.45863454,-0.000901821
17.49201625,-0.000901821
17.52539796,-0.000901821
17.55877967,-0.000901821
17.59216138,-0.000723154
17.62554309,-0.000723154
17.6589248,-0.000723154
17.69230651,-0.000723154
17.72568822,-0.000723154
17.75906994,-0.000723154
17.79245165,-0.000723154
17.82583336,-0.000723154
17.85921507,-0.000723154
17.89259678,-0.000723154
17.92597849,-0.000723154
17.9593602,-0.000723154
17.99274191,-0.000901821
18.02612362,-0.000901821
18.05950533,-0.000901821
18.09288704,-0.000901821
18.12626875,-0.000901821
18.15965046,-0.000901821
18.19303217,-0.000901821
18.22641388,-0.000901821
18.25979559,-0.000723154
18.2931773,-0.000723154
18.32655901,-0.000723154
18.35994072,-0.000723154
18.39332243,-0.000723154
18.42670414,-0.000723154
18.46008585,-0.000723154
18.49346756,-0.000723154
18.52684927,-0.000901821
18.56023098,-0.000901821
18.5936127,-0.000901821
18.62699441,-0.000901821
18.66037612,-0.000901821
18.69375783,-0.000901821
18.72713954,-0.000901821
18.76052125,-0.000901821
18.79390296,-0.000901821
18.82728467,-0.000901821
18.86066638,-0.000723154
18.89404809,-0.000723154
18.9274298,-0.000723154
18.96081151,-0.000723154
18.99419322,-0.000723154
19.02757493,-0.000723154
19.06095664,-0.000723154
19.09433835,-0.000723154
19.12772006,-0.000723154
19.16110177,-0.000901821
19.19448348,-0.000901821
19.22786519,-0.000901821
19.2612469,-0.000901821
19.29462861,-0.000901821
19.32801032,-0.000901821
19.36139203,-0.000901821
19.39477374,-0.000901821
19.42815546,-0.000901821
19.46153717,-0.000901821
19.49491888,-0.000901821
19.52830059,-0.000901821
19.5616823,-0.000901821
19.59506401,-0.000901821
19.62844572,-0.000901821
19.66182743,-0.000901821
19.69520914,-0.000901821
19.72859085,-0.000901821
19.76197256,-0.000901821
19.79535427,-0.000901821
19.82873598,-0.000901821
19.86211769,-0.000901821
19.8954994,-0.000901821
19.92888111,-0.000901821
19.96226282,-0.000723154
19.99564453,-0.000723154
20.02902624,-0.000723154
20.06240795,-0.000723154
20.09578966,-0.000723154
20.12917137,-0.000723154
20.16255308,-0.000723154
20.19593479,-0.000901821
20.22931651,-0.000901821
20.26269822,-0.000901821
20.29607993,-0.000901821
20.32946164,-0.000901821
20.36284335,-0.001080528
20.39622506,-0.000901821
20.42960677,-0.001080528
20.46298848,-0.001080528
20.49637019,-0.000901821
20.5297519,-0.000901821
20.56313361,-0.000901821
20.59651532,-0.000901821
20.62989703,-0.000723154
20.66327874,-0.000723154
20.69666045,-0.000723154
20.73004216,-0.000723154
20.76342387,-0.000723154
20.79680558,-0.000723154
20.83018729,-0.000723154
20.863569,-0.000723154
20.89695071,-0.000723154
20.93033242,-0.000723154
20.96371413,-0.000723154
20.99709584,-0.000901821
21.03047755,-0.000901821
21.06385927,-0.000901821
21.09724098,-0.000901821
21.13062269,-0.000901821
21.1640044,-0.000901821
21.19738611,-0.000901821
21.23076782,-0.000901821
21.26414953,-0.000901821
21.29753124,-0.000901821
21.33091295,-0.000901821
21.36429466,-0.000723154
21.39767637,-0.000723154
21.43105808,-0.000723154
21.46443979,-0.000723154
21.4978215,-0.000723154
21.53120321,-0.000723154
21.56458492,-0.000723154
21.59796663,-0.000901821
21.63134834,-0.000901821
21.66473005,-0.000901821
21.69811176,-0.000901821
21.73149347,-0.000901821
21.76487518,-0.000901821
21.79825689,-0.000723154
21.8316386,-0.000723154
21.86502031,-0.000723154
21.89840203,-0.000723154
21.93178374,-0.000723154
21.96516545,-0.000901821
21.99854716,-0.000901821
22.03192887,-0.000901821
22.06531058,-0.000901821
22.09869229,-0.000901821
22.132074,-0.000901821
22.16545571,-0.000901821
22.19883742,-0.000901821
22.23221913,-0.000901821
22.26560084,-0.000901821
22.29898255,-0.000901821
22.33236426,-0.000901821
22.36574597,-0.000901821
22.39912768,-0.000723154
22.43250939,-0.000723154
22.4658911,-0.000723154
22.49927281,-0.000723154
22.53265452,-0.000723154
22.56603623,-0.000723154
22.59941794,-0.000723154
22.63279965,-0.000723154
22.66618136,-0.000723154
22.69956307,-0.000901821
22.73294479,-0.000901821
22.7663265,-0.000901821
22.79970821,-0.000901821
22.83308992,-0.000901821
22.86647163,-0.000901821
22.89985334,-0.000901821
22.93323505,-0.000901821
22.96661676,-0.000901821
22.99999847,-0.000901821
23.03338018,-0.000901821
23.06676189,-0.000723154
23.1001436,-0.000723154
23.13352531,-0.000723154
23.16690702,-0.000723154
23.20028873,-0.000723154
23.23367044,-0.000723154
23.26705215,-0.000723154
23.30043386,-0.000723154
23.33381557,-0.000723154
23.36719728,-0.000723154
23.40057899,-0.000901821
23.4339607,-0.000901821
23.46734241,-0.000901821
23.50072412,-0.000723154
23.53410584,-0.000723154
23.56748755,-0.000723154
23.60086926,-0.000723154
23.63425097,-0.000723154
23.66763268,-0.000723154
23.70101439,-0.000723154
23.7343961,-0.000723154
23.76777781,-0.000723154
23.80115952,-0.000723154
23.83454123,-0.000901821
23.86792294,-0.000901821
23.90130465,-0.000901821
23.93468636,-0.000901821
23.96806807,-0.000901821
24.00144978,-0.000901821
24.03483149,-0.000901821
24.0682132,-0.000901821
24.10159491,-0.000901821
24.13497662,-0.000723154
24.16835833,-0.000723154
24.20174004,-0.000723154
24.23512175,-0.000723154
24.26850346,-0.000723154
24.30188517,-0.000723154
24.33526688,-0.000723154
