t,torque_signal
8.278664180292610197e+00,1.481800824874349054e+00
8.312045890697019601e+00,3.700548298053611962e-01
8.345427601101420123e+00,2.434464557610123148e+00
8.378809311505829527e+00,-4.753642949814990359e+00
8.412191021910240707e+00,6.520867171597171108e+00
8.445572732314639453e+00,-5.557980372244614165e-01
8.478954442719050633e+00,1.571116248408340965e+00
8.512336153123449378e+00,2.219400199305157917e-01
8.545717863527860558e+00,1.574702395889627127e+00
8.579099573932259304e+00,-5.711144967675716444e-01
8.612481284336670484e+00,6.593463494169067296e+00
8.645862994741069230e+00,-4.568076190519074764e+00
8.679244705145480410e+00,2.298712991416719476e+00
8.712626415549889813e+00,5.106436035777803806e-01
8.746008125954290335e+00,1.315034087384383321e+00
8.779389836358699739e+00,9.082872361602895017e-01
8.812771546763100261e+00,1.055912084397332418e+00
8.846153257167509665e+00,1.174645504631250503e+00
8.879534967571920845e+00,6.335699038362541113e-01
8.912916677976319590e+00,2.213488470575625033e+00
8.946298388380730771e+00,-4.586570880441541043e+00
8.979680098785129516e+00,6.444268098283146173e+00
9.013061809189540696e+00,-6.825200897855450144e-01
9.046443519593939442e+00,2.356362202410249296e+00
9.079825229998350622e+00,-4.828088076962854913e+00
9.113206940402760026e+00,5.992734255122711851e+00
9.146588650807160548e+00,-1.693413216569250590e-01
9.179970361211569951e+00,2.164577946641593753e-02
9.213352071615970473e+00,5.790204360453889976e+00
9.246733782020379877e+00,-4.200107914848414836e+00
9.280115492424780399e+00,1.392737264891559912e+00
9.313497202829189803e+00,1.358362017466590910e+00
9.346878913233599206e+00,-1.000632276241343543e+00
9.380260623637999728e+00,8.195512316478517079e+00
9.413642334042409132e+00,-1.158173831721507341e+01
9.447024044446809654e+00,1.413883343646412172e+01
9.480405754851220834e+00,-1.151711878665216560e+01
9.513787465255619580e+00,8.020549889655669062e+00
9.547169175660030760e+00,-1.003676119718194482e+00
9.580550886064429505e+00,1.590942091495936683e+00
9.613932596468840686e+00,4.881982647170248213e-01
9.647314306873250089e+00,9.656732776186576217e-01
9.680696017277650611e+00,8.366493173278568563e-01
9.714077727682060015e+00,7.224847139121248762e-01
9.747459438086460537e+00,1.052917333873400807e+00
9.780841148490869941e+00,4.664271598055148016e-01
9.814222858895270463e+00,1.473941516561699139e+00
9.847604569299679866e+00,-5.698739375336505653e-01
9.880986279704089270e+00,6.680772556739873025e+00
9.914367990108489792e+00,-4.756131066663421336e+00
9.947749700512899196e+00,2.633437475330710598e+00
9.981131410917299718e+00,-1.040950544670661282e-01
1.001451312132170024e+01,2.705557871863665031e+00
1.004789483172610076e+01,-4.949430250484981642e+00
1.008127654213049951e+01,6.693000137777291414e+00
1.011465825253490003e+01,-7.370722181345072954e-01
1.014803996293930055e+01,1.801326376402326179e+00
1.018142167334369930e+01,-1.493876337376662811e-01
1.021480338374809982e+01,2.454293284495351113e+00
1.024818509415250034e+01,-5.160426910225853980e+00
1.028156680455700034e+01,6.521123703033714136e+00
1.031494851496140086e+01,-1.029882044567018706e+00
1.034833022536579961e+01,1.804159889604907807e+00
1.038171193577020013e+01,-1.045057702182340620e+00
1.041509364617460065e+01,6.592314126835622901e+00
1.044847535657899940e+01,-4.965328972094192217e+00
1.048185706698339992e+01,2.286450741235840134e+00
1.051523877738780044e+01,8.187924810430008415e-02
1.054862048779219919e+01,1.377183381508926052e+00
1.058200219819659971e+01,3.439185096962995014e-01
1.061538390860100023e+01,1.366137843496754378e+00
1.064876561900540075e+01,1.036040298300007212e-01
1.068214732940979950e+01,2.258100656742672463e+00
1.071552903981420002e+01,-4.966146558507976927e+00
1.074891075021860054e+01,6.286113430629773013e+00
1.078229246062299929e+01,-6.923640508510313651e-01
1.081567417102739981e+01,1.221013747504325231e+00
1.084905588143189981e+01,2.892589891676206060e-01
1.088243759183630033e+01,7.942206338657784581e-01
